gene_id,gene_symbol,description,gene_type,transcript_accession,protein_accession
107290786,EXOC7,exocyst complex component 7,PROTEIN_CODING,XM_015819707.2,XP_015675193.1
107290786,EXOC7,exocyst complex component 7,PROTEIN_CODING,XM_015819705.2,XP_015675191.1
107290786,EXOC7,exocyst complex component 7,PROTEIN_CODING,XM_015819704.2,XP_015675190.1
107290786,EXOC7,exocyst complex component 7,PROTEIN_CODING,XM_015819703.1,XP_015675189.1
107290786,EXOC7,exocyst complex component 7,PROTEIN_CODING,XM_015819706.1,XP_015675192.1
107290788,FOXJ1,forkhead box J1,PROTEIN_CODING,XM_015819709.1,XP_015675195.1
107290803,LOC107290803,cobalamin binding intrinsic factor-like,PROTEIN_CODING,XM_029284814.1,XP_029140647.1
107290810,LOC107290810,E3 ubiquitin-protein ligase SIAH1,PROTEIN_CODING,XM_015819733.1,XP_015675219.1
107290810,LOC107290810,E3 ubiquitin-protein ligase SIAH1,PROTEIN_CODING,XM_015819732.1,XP_015675218.1
107290810,LOC107290810,E3 ubiquitin-protein ligase SIAH1,PROTEIN_CODING,XM_015819731.1,XP_015675217.1
107290810,LOC107290810,E3 ubiquitin-protein ligase SIAH1,PROTEIN_CODING,XM_015819734.1,XP_015675220.1
107290825,PTGIS,prostaglandin I2 synthase,PROTEIN_CODING,XM_015819750.1,XP_015675236.1
107290836,IQCA1,IQ motif containing with AAA domain 1,PROTEIN_CODING,XM_029284823.1,XP_029140656.1
107290838,LOC107290838,uncharacterized LOC107290838,PROTEIN_CODING,XR_001548962.2,
107290838,LOC107290838,uncharacterized LOC107290838,PROTEIN_CODING,XM_015819764.1,XP_015675250.1
107290838,LOC107290838,uncharacterized LOC107290838,PROTEIN_CODING,XM_015819763.1,XP_015675249.1
107290839,MFSD13A,major facilitator superfamily domain containing 13A,PROTEIN_CODING,XM_015819765.1,XP_015675251.1
107290839,MFSD13A,major facilitator superfamily domain containing 13A,PROTEIN_CODING,XM_015819767.1,XP_015675253.1
107290844,ARL3,ADP ribosylation factor like GTPase 3,PROTEIN_CODING,XM_015819772.1,XP_015675258.1
107290847,BORCS7,BLOC-1 related complex subunit 7,PROTEIN_CODING,XM_015819777.1,XP_015675263.1
107290848,NT5C2,"5'-nucleotidase, cytosolic II",PROTEIN_CODING,XM_015819779.1,XP_015675265.1
107290848,NT5C2,"5'-nucleotidase, cytosolic II",PROTEIN_CODING,XM_029284825.1,XP_029140658.1
107290848,NT5C2,"5'-nucleotidase, cytosolic II",PROTEIN_CODING,XM_015819778.1,XP_015675264.1
107290848,NT5C2,"5'-nucleotidase, cytosolic II",PROTEIN_CODING,XM_015819780.1,XP_015675266.1
107290858,XPO1,exportin 1,PROTEIN_CODING,XM_015819791.1,XP_015675277.1
107290887,LIMS1,LIM zinc finger domain containing 1,PROTEIN_CODING,XM_015819827.1,XP_015675313.1
107290887,LIMS1,LIM zinc finger domain containing 1,PROTEIN_CODING,XM_015819826.1,XP_015675312.1
107290887,LIMS1,LIM zinc finger domain containing 1,PROTEIN_CODING,XM_015819825.1,XP_015675311.1
107290888,HS2ST1,heparan sulfate 2-O-sulfotransferase 1,PROTEIN_CODING,XM_015819828.1,XP_015675314.1
107290919,TRNT1,tRNA nucleotidyl transferase 1,PROTEIN_CODING,XM_015819861.1,XP_015675347.1
107290934,SPRYD4,SPRY domain containing 4,PROTEIN_CODING,XM_015819883.1,XP_015675369.1
107290939,TSNAX,translin associated factor X,PROTEIN_CODING,XM_015819885.1,XP_015675371.1
107290951,TRMT5,tRNA methyltransferase 5,PROTEIN_CODING,XM_015819896.1,XP_015675382.1
107290971,LARP1,"La ribonucleoprotein 1, translational regulator",PROTEIN_CODING,XM_029284847.1,XP_029140680.1
107290977,KANSL2,KAT8 regulatory NSL complex subunit 2,PROTEIN_CODING,XM_015819923.1,XP_015675409.1
107290977,KANSL2,KAT8 regulatory NSL complex subunit 2,PROTEIN_CODING,XM_015819921.1,XP_015675407.1
107290992,PIGY,phosphatidylinositol glycan anchor biosynthesis class Y,PROTEIN_CODING,XM_015819942.1,XP_015675428.1
107291006,IGFBP6,insulin like growth factor binding protein 6,PROTEIN_CODING,XM_015819955.1,XP_015675441.1
107291017,MRPS30,mitochondrial ribosomal protein S30,PROTEIN_CODING,XM_029284854.1,XP_029140687.1
107291031,HADHA,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha,PROTEIN_CODING,XM_015819980.2,XP_015675466.2
107291040,LOC107291040,sterile alpha motif domain-containing protein 12,PROTEIN_CODING,XM_029284863.1,XP_029140696.1
107291057,ZNF277,zinc finger protein 277,PROTEIN_CODING,XM_015820012.1,XP_015675498.1
107291057,ZNF277,zinc finger protein 277,PROTEIN_CODING,XM_015820010.1,XP_015675496.1
107291057,ZNF277,zinc finger protein 277,PROTEIN_CODING,XM_015820011.2,XP_015675497.1
107291070,RRP9,"ribosomal RNA processing 9, U3 small nucleolar RNA binding protein",PROTEIN_CODING,XM_015820029.1,XP_015675515.1
107291073,LOC107291073,"cytochrome c oxidase assembly protein COX16 homolog, mitochondrial",PROTEIN_CODING,XM_015820030.1,XP_015675516.1
107291073,LOC107291073,"cytochrome c oxidase assembly protein COX16 homolog, mitochondrial",PROTEIN_CODING,XM_015820031.1,XP_015675517.1
107291086,BTBD10,BTB domain containing 10,PROTEIN_CODING,XM_015820043.1,XP_015675529.1
107291086,BTBD10,BTB domain containing 10,PROTEIN_CODING,XM_015820046.1,XP_015675532.1
107291086,BTBD10,BTB domain containing 10,PROTEIN_CODING,XM_015820044.2,XP_015675530.1
107291086,BTBD10,BTB domain containing 10,PROTEIN_CODING,XM_015820045.1,XP_015675531.1
107291090,LOC107291090,NADH-cytochrome b5 reductase 2,PROTEIN_CODING,XM_015820052.1,XP_015675538.1
107291091,PPFIBP2,PPFIA binding protein 2,PROTEIN_CODING,XM_029284874.1,XP_029140707.1
107291097,ABHD14A,abhydrolase domain containing 14A,PROTEIN_CODING,XM_015820070.1,XP_015675556.1
107291097,ABHD14A,abhydrolase domain containing 14A,PROTEIN_CODING,XM_015820062.1,XP_015675548.1
107291124,C7,complement C7,PROTEIN_CODING,XM_015820086.1,XP_015675572.1
107291127,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1,PROTEIN_CODING,XM_029284885.1,XP_029140718.1
107291127,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1,PROTEIN_CODING,XM_029284884.1,XP_029140717.1
107291137,LOC107291137,mitochondrial RNA pseudouridine synthase RPUSD4,PROTEIN_CODING,XM_015820100.1,XP_015675586.1
107291138,SIAE,sialic acid acetylesterase,PROTEIN_CODING,XM_015820101.1,XP_015675587.1
107291139,SPA17,sperm autoantigenic protein 17,PROTEIN_CODING,XM_015820102.1,XP_015675588.1
107291139,SPA17,sperm autoantigenic protein 17,PROTEIN_CODING,XM_015820104.1,XP_015675590.1
107291139,SPA17,sperm autoantigenic protein 17,PROTEIN_CODING,XM_029284887.1,XP_029140720.1
107291143,NTPCR,"nucleoside-triphosphatase, cancer-related",PROTEIN_CODING,XM_015820109.1,XP_015675595.1
107291155,STYXL2,serine/threonine/tyrosine interacting like 2,PROTEIN_CODING,XM_015820121.1,XP_015675607.1
107291175,NSA2,NSA2 ribosome biogenesis factor,PROTEIN_CODING,XM_015820141.1,XP_015675627.1
107291186,TCEA1,transcription elongation factor A1,PROTEIN_CODING,XM_015820154.1,XP_015675640.1
107291186,TCEA1,transcription elongation factor A1,PROTEIN_CODING,XM_015820153.1,XP_015675639.1
107291186,TCEA1,transcription elongation factor A1,PROTEIN_CODING,XM_015820155.1,XP_015675641.1
107291192,TSTD3,thiosulfate sulfurtransferase like domain containing 3,PROTEIN_CODING,XM_015820162.1,XP_015675648.1
107291202,COQ8A,coenzyme Q8A,PROTEIN_CODING,XM_015820172.1,XP_015675658.1
107291208,PARP1,poly(ADP-ribose) polymerase 1,PROTEIN_CODING,XM_015820180.1,XP_015675666.1
107291246,ZCCHC7,zinc finger CCHC-type containing 7,PROTEIN_CODING,XM_015820229.2,XP_015675715.1
107291247,ZBTB5,zinc finger and BTB domain containing 5,PROTEIN_CODING,XM_015820230.1,XP_015675716.1
107291249,POLR1E,RNA polymerase I subunit E,PROTEIN_CODING,XM_015820231.1,XP_015675717.1
107291253,GRHPR,glyoxylate and hydroxypyruvate reductase,PROTEIN_CODING,XM_015820237.1,XP_015675723.1
107291259,SLC35A3,solute carrier family 35 member A3,PROTEIN_CODING,XM_015820246.1,XP_015675732.1
107291259,SLC35A3,solute carrier family 35 member A3,PROTEIN_CODING,XM_015820244.1,XP_015675730.1
107291259,SLC35A3,solute carrier family 35 member A3,PROTEIN_CODING,XM_015820245.1,XP_015675731.1
107291259,SLC35A3,solute carrier family 35 member A3,PROTEIN_CODING,XM_015820243.1,XP_015675729.1
107291261,TMED5,transmembrane p24 trafficking protein 5,PROTEIN_CODING,XM_015820249.1,XP_015675735.1
107291265,GRHL1,grainyhead like transcription factor 1,PROTEIN_CODING,XM_015820255.1,XP_015675741.1
107291265,GRHL1,grainyhead like transcription factor 1,PROTEIN_CODING,XM_015820254.1,XP_015675740.1
107291269,LOC107291269,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1,PROTEIN_CODING,XM_015820258.1,XP_015675744.1
107291271,LOC107291271,insulin-like growth factor-binding protein 3 receptor,PROTEIN_CODING,XM_015820262.1,XP_015675748.1
107291288,LOC107291288,apolipoprotein C-I,PROTEIN_CODING,XM_015820278.1,XP_015675764.1
107291291,INSIG2,insulin induced gene 2,PROTEIN_CODING,XM_015820282.1,XP_015675768.1
107291291,INSIG2,insulin induced gene 2,PROTEIN_CODING,XM_015820283.1,XP_015675769.1
107291390,PPIH,peptidylprolyl isomerase H,PROTEIN_CODING,XM_015820384.1,XP_015675870.1
107291390,PPIH,peptidylprolyl isomerase H,PROTEIN_CODING,XM_015820385.1,XP_015675871.1
107291405,SLC25A29,solute carrier family 25 member 29,PROTEIN_CODING,XM_015820401.1,XP_015675887.1
107291405,SLC25A29,solute carrier family 25 member 29,PROTEIN_CODING,XM_015820409.1,XP_015675895.1
107291410,LOC107291410,cytochrome P450 2J2-like,PROTEIN_CODING,XM_015820403.2,XP_015675889.2
107291454,GJB3,gap junction protein beta 3,PROTEIN_CODING,XM_015820452.1,XP_015675938.1
107291455,LOC107291455,periplasmic beta-glucosidase,PROTEIN_CODING,XM_015820453.1,XP_015675939.1
107291465,ARPC2,actin related protein 2/3 complex subunit 2,PROTEIN_CODING,XM_015820463.1,XP_015675949.1
107291465,ARPC2,actin related protein 2/3 complex subunit 2,PROTEIN_CODING,XM_015820462.1,XP_015675948.1
107291486,PNKD,PNKD metallo-beta-lactamase domain containing,PROTEIN_CODING,XM_015820486.2,XP_015675972.1
107291513,LOC107291513,tRNA selenocysteine 1-associated protein 1,PROTEIN_CODING,XM_015820513.1,XP_015675999.1
107291513,LOC107291513,tRNA selenocysteine 1-associated protein 1,PROTEIN_CODING,XM_015820516.1,XP_015676002.1
107291513,LOC107291513,tRNA selenocysteine 1-associated protein 1,PROTEIN_CODING,XM_015820514.1,XP_015676000.1
107291513,LOC107291513,tRNA selenocysteine 1-associated protein 1,PROTEIN_CODING,XM_015820515.1,XP_015676001.1
107291513,LOC107291513,tRNA selenocysteine 1-associated protein 1,PROTEIN_CODING,XM_015820512.1,XP_015675998.1
107291514,CAP2,cyclase associated actin cytoskeleton regulatory protein 2,PROTEIN_CODING,XM_015820517.1,XP_015676003.1
107291515,RBM24,RNA binding motif protein 24,PROTEIN_CODING,XM_015820518.1,XP_015676004.1
107291516,STMND1,stathmin domain containing 1,PROTEIN_CODING,XM_015820519.1,XP_015676005.1
107291516,STMND1,stathmin domain containing 1,PROTEIN_CODING,XM_015820520.1,XP_015676006.1
107291525,LOC107291525,neurabin-1,PROTEIN_CODING,XM_015820530.2,XP_015676016.1
107291525,LOC107291525,neurabin-1,PROTEIN_CODING,XM_015820529.2,XP_015676015.1
107291536,LOC107291536,ubiquitin-conjugating enzyme E2 L5,PROTEIN_CODING,XM_015820547.2,XP_015676033.1
107291536,LOC107291536,ubiquitin-conjugating enzyme E2 L5,PROTEIN_CODING,XM_015820546.2,XP_015676032.1
107291552,PLEKHS1,pleckstrin homology domain containing S1,PROTEIN_CODING,XM_015820567.1,XP_015676053.1
107291552,PLEKHS1,pleckstrin homology domain containing S1,PROTEIN_CODING,XM_015820562.1,XP_015676048.1
107291552,PLEKHS1,pleckstrin homology domain containing S1,PROTEIN_CODING,XM_015820564.1,XP_015676050.1
107291552,PLEKHS1,pleckstrin homology domain containing S1,PROTEIN_CODING,XM_015820563.1,XP_015676049.1
107291552,PLEKHS1,pleckstrin homology domain containing S1,PROTEIN_CODING,XM_015820565.1,XP_015676051.1
107291555,NHLRC2,NHL repeat containing 2,PROTEIN_CODING,XM_015820570.1,XP_015676056.1
107291557,LOC107291557,magnesium transporter NIPA2,PROTEIN_CODING,XM_015820572.1,XP_015676058.1
107291557,LOC107291557,magnesium transporter NIPA2,PROTEIN_CODING,XM_015820573.1,XP_015676059.1
107291561,TNMD,tenomodulin,PROTEIN_CODING,XM_015820578.1,XP_015676064.1
107291585,PIN4,"peptidylprolyl cis/trans isomerase, NIMA-interacting 4",PROTEIN_CODING,XM_015820605.1,XP_015676091.1
107291608,ERMP1,endoplasmic reticulum metallopeptidase 1,PROTEIN_CODING,XM_029284971.1,XP_029140804.1
107291626,LOC107291626,acyl-CoA (8-3)-desaturase,PROTEIN_CODING,XM_015820646.1,XP_015676132.1
107291634,CKM,"creatine kinase, M-type",PROTEIN_CODING,XM_015820653.1,XP_015676139.1
107291678,FRMD6,FERM domain containing 6,PROTEIN_CODING,XM_015820699.1,XP_015676185.1
107291689,CNDP2,carnosine dipeptidase 2,PROTEIN_CODING,XM_029284989.1,XP_029140822.1
107291689,CNDP2,carnosine dipeptidase 2,PROTEIN_CODING,XM_029284987.1,XP_029140820.1
107291703,MSRB3,methionine sulfoxide reductase B3,PROTEIN_CODING,XM_015820733.1,XP_015676219.1
107291723,RPL18A,ribosomal protein L18a,PROTEIN_CODING,XM_015820755.1,XP_015676241.1
107291723,RPL18A,ribosomal protein L18a,PROTEIN_CODING,XM_015820764.1,XP_015676250.1
107291731,LOC107291731,parvalbumin beta,PROTEIN_CODING,XM_015820761.1,XP_015676247.1
107291732,CCZ1,"CCZ1 homolog, vacuolar protein trafficking and biogenesis associated",PROTEIN_CODING,XM_015820762.1,XP_015676248.1
107291732,CCZ1,"CCZ1 homolog, vacuolar protein trafficking and biogenesis associated",PROTEIN_CODING,XM_015820763.1,XP_015676249.1
107291759,NIF3L1,NGG1 interacting factor 3 like 1,PROTEIN_CODING,XM_015820795.1,XP_015676281.1
107291759,NIF3L1,NGG1 interacting factor 3 like 1,PROTEIN_CODING,XM_015820794.1,XP_015676280.1
107291760,ORC2,origin recognition complex subunit 2,PROTEIN_CODING,XM_029285013.1,XP_029140846.1
107291765,SPATS2L,spermatogenesis associated serine rich 2 like,PROTEIN_CODING,XM_015820803.1,XP_015676289.1
107291768,NIT2,nitrilase family member 2,PROTEIN_CODING,XM_015820807.1,XP_015676293.1
107291771,DCBLD2,"discoidin, CUB and LCCL domain containing 2",PROTEIN_CODING,XM_015820812.1,XP_015676298.1
107291795,GNS,glucosamine (N-acetyl)-6-sulfatase,PROTEIN_CODING,XM_015820831.2,XP_015676317.1
107291795,GNS,glucosamine (N-acetyl)-6-sulfatase,PROTEIN_CODING,XM_015820838.2,XP_015676324.1
107291795,GNS,glucosamine (N-acetyl)-6-sulfatase,PROTEIN_CODING,XM_015820846.2,XP_015676332.1
107291800,LOC107291800,uncharacterized LOC107291800,ncRNA,XR_001548982.1,
107291800,LOC107291800,uncharacterized LOC107291800,ncRNA,XR_001548980.1,
107291800,LOC107291800,uncharacterized LOC107291800,ncRNA,XR_003810519.1,
107291856,LOC107291856,pulmonary surfactant-associated protein D-like,PROTEIN_CODING,XM_029285028.1,XP_029140861.1
107291859,PXYLP1,2-phosphoxylose phosphatase 1,PROTEIN_CODING,XM_015820893.1,XP_015676379.1
107291859,PXYLP1,2-phosphoxylose phosphatase 1,PROTEIN_CODING,XM_015820894.1,XP_015676380.1
107291862,CCN4,cellular communication network factor 4,PROTEIN_CODING,XM_015820900.1,XP_015676386.1
107291872,POLR3H,RNA polymerase III subunit H,PROTEIN_CODING,XM_015820910.1,XP_015676396.1
107291872,POLR3H,RNA polymerase III subunit H,PROTEIN_CODING,XM_015820908.1,XP_015676394.1
107291872,POLR3H,RNA polymerase III subunit H,PROTEIN_CODING,XM_015820909.1,XP_015676395.1
107291877,PPP1R3A,protein phosphatase 1 regulatory subunit 3A,PROTEIN_CODING,XM_029285032.1,XP_029140865.1
107291897,LOC107291897,methyltransferase-like protein 7A,PROTEIN_CODING,XM_015820941.2,XP_015676427.1
107291899,LCLAT1,lysocardiolipin acyltransferase 1,PROTEIN_CODING,XM_015820946.1,XP_015676432.1
107291899,LCLAT1,lysocardiolipin acyltransferase 1,PROTEIN_CODING,XM_015820944.1,XP_015676430.1
107291899,LCLAT1,lysocardiolipin acyltransferase 1,PROTEIN_CODING,XM_015820945.1,XP_015676431.1
107291899,LCLAT1,lysocardiolipin acyltransferase 1,PROTEIN_CODING,XM_015820947.1,XP_015676433.1
107291905,GALM,galactose mutarotase,PROTEIN_CODING,XM_015820953.1,XP_015676439.1
107291905,GALM,galactose mutarotase,PROTEIN_CODING,XM_015820952.1,XP_015676438.1
107291906,SRSF7,serine and arginine rich splicing factor 7,PROTEIN_CODING,XM_015820955.1,XP_015676441.1
107291906,SRSF7,serine and arginine rich splicing factor 7,PROTEIN_CODING,XM_015820954.1,XP_015676440.1
107291914,CLK3,CDC like kinase 3,PROTEIN_CODING,XM_029285043.1,XP_029140876.1
107291914,CLK3,CDC like kinase 3,PROTEIN_CODING,XM_029285042.1,XP_029140875.1
107291931,HS1BP3,HCLS1 binding protein 3,PROTEIN_CODING,XM_015820984.1,XP_015676470.1
107291933,LOC107291933,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase-like",PROTEIN_CODING,XM_015820988.1,XP_015676474.1
107291971,SNRPD2,small nuclear ribonucleoprotein D2 polypeptide,PROTEIN_CODING,XM_015821025.2,XP_015676511.1
107291971,SNRPD2,small nuclear ribonucleoprotein D2 polypeptide,PROTEIN_CODING,XM_015821026.2,XP_015676512.1
107291971,SNRPD2,small nuclear ribonucleoprotein D2 polypeptide,PROTEIN_CODING,XM_015821027.2,XP_015676513.1
107291988,LOC107291988,sarcoplasmic/endoplasmic reticulum calcium ATPase 1-like,PROTEIN_CODING,XM_015821044.1,XP_015676530.1
107291996,DUSP26,dual specificity phosphatase 26,PROTEIN_CODING,XM_015821051.1,XP_015676537.1
107292001,BTBD9,BTB domain containing 9,PROTEIN_CODING,XM_015821058.1,XP_015676544.1
107292004,UBE2G1,ubiquitin conjugating enzyme E2 G1,PROTEIN_CODING,XM_015821062.1,XP_015676548.1
107292004,UBE2G1,ubiquitin conjugating enzyme E2 G1,PROTEIN_CODING,XM_015821061.1,XP_015676547.1
107292004,UBE2G1,ubiquitin conjugating enzyme E2 G1,PROTEIN_CODING,XM_015821063.1,XP_015676549.1
107292010,SENP6,SUMO specific peptidase 6,PROTEIN_CODING,XM_015821069.1,XP_015676555.1
107292027,SPDEF,SAM pointed domain containing ETS transcription factor,PROTEIN_CODING,XM_015821087.1,XP_015676573.1
107292123,SRD5A3,steroid 5 alpha-reductase 3,PROTEIN_CODING,XM_015821180.2,XP_015676666.1
107292125,LOC107292125,membrane-spanning 4-domains subfamily A member 15,PROTEIN_CODING,XM_015821185.2,XP_015676671.1
107292125,LOC107292125,membrane-spanning 4-domains subfamily A member 15,PROTEIN_CODING,XM_015821184.2,XP_015676670.1
107292126,LOC107292126,membrane-spanning 4-domains subfamily A member 8-like,PROTEIN_CODING,XM_015821187.1,XP_015676673.1
107292126,LOC107292126,membrane-spanning 4-domains subfamily A member 8-like,PROTEIN_CODING,XM_015821186.1,XP_015676672.1
107292126,LOC107292126,membrane-spanning 4-domains subfamily A member 8-like,PROTEIN_CODING,XM_015821188.1,XP_015676674.1
107292136,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,PROTEIN_CODING,XM_015821199.2,XP_015676685.1
107292161,FBXO9,F-box protein 9,PROTEIN_CODING,XM_015821223.1,XP_015676709.1
107292161,FBXO9,F-box protein 9,PROTEIN_CODING,XM_015821224.1,XP_015676710.1
107292168,LOC107292168,DDB1- and CUL4-associated factor 7,PROTEIN_CODING,XM_015821230.1,XP_015676716.1
107292171,PCBD1,pterin-4 alpha-carbinolamine dehydratase 1,PROTEIN_CODING,XM_015821234.1,XP_015676720.1
107292171,PCBD1,pterin-4 alpha-carbinolamine dehydratase 1,PROTEIN_CODING,XM_015821235.1,XP_015676721.1
107292177,MYL5,myosin light chain 5,PROTEIN_CODING,XM_015821242.1,XP_015676728.1
107292179,LOC107292179,uncharacterized LOC107292179,ncRNA,XR_001548988.1,
107292186,TIMM9,translocase of inner mitochondrial membrane 9,PROTEIN_CODING,XM_015821251.1,XP_015676737.1
107292186,TIMM9,translocase of inner mitochondrial membrane 9,PROTEIN_CODING,XM_015821249.1,XP_015676735.1
107292203,CANT1,calcium activated nucleotidase 1,PROTEIN_CODING,XM_015821274.1,XP_015676760.1
107292203,CANT1,calcium activated nucleotidase 1,PROTEIN_CODING,XM_015821273.2,XP_015676759.1
107292204,TIMP2,TIMP metallopeptidase inhibitor 2,PROTEIN_CODING,XM_015821275.1,XP_015676761.1
107292212,ROPN1L,rhophilin associated tail protein 1 like,PROTEIN_CODING,XM_015821283.1,XP_015676769.1
107292212,ROPN1L,rhophilin associated tail protein 1 like,PROTEIN_CODING,XM_015821282.1,XP_015676768.1
107292213,SNRNP48,small nuclear ribonucleoprotein U11/U12 subunit 48,PROTEIN_CODING,XM_015821284.1,XP_015676770.1
107292230,MRI1,methylthioribose-1-phosphate isomerase 1,PROTEIN_CODING,XM_015821307.1,XP_015676793.1
107292230,MRI1,methylthioribose-1-phosphate isomerase 1,PROTEIN_CODING,XM_015821316.1,XP_015676802.1
107292261,MED30,mediator complex subunit 30,PROTEIN_CODING,XM_015821337.1,XP_015676823.1
107292270,IRF6,interferon regulatory factor 6,PROTEIN_CODING,XM_015821346.1,XP_015676832.1
107292270,IRF6,interferon regulatory factor 6,PROTEIN_CODING,XM_015821347.1,XP_015676833.1
107292271,CUNH1orf74,chromosome unknown C1orf74 homolog,PROTEIN_CODING,XM_015821348.1,XP_015676834.1
107292304,RNPC3,"RNA binding region (RNP1, RRM) containing 3",PROTEIN_CODING,XM_015821385.1,XP_015676871.1
107292304,RNPC3,"RNA binding region (RNP1, RRM) containing 3",PROTEIN_CODING,XM_015821386.1,XP_015676872.1
107292306,GPBP1,GC-rich promoter binding protein 1,PROTEIN_CODING,XM_015821389.1,XP_015676875.1
107292311,SETD9,SET domain containing 9,PROTEIN_CODING,XM_015821393.1,XP_015676879.1
107292316,OSGEP,O-sialoglycoprotein endopeptidase,PROTEIN_CODING,XM_015821399.1,XP_015676885.1
107292333,CLMP,CXADR like membrane protein,PROTEIN_CODING,XM_015821413.1,XP_015676899.1
107292360,LZIC,leucine zipper and CTNNBIP1 domain containing,PROTEIN_CODING,XM_015821440.1,XP_015676926.1
107292376,USP13,ubiquitin specific peptidase 13,PROTEIN_CODING,XM_015821465.1,XP_015676951.1
107292381,ABHD10,"abhydrolase domain containing 10, depalmitoylase",PROTEIN_CODING,XM_015821467.1,XP_015676953.1
107292390,TDP1,tyrosyl-DNA phosphodiesterase 1,PROTEIN_CODING,XM_015821477.1,XP_015676963.1
107292393,CCDC39,coiled-coil domain containing 39,PROTEIN_CODING,XM_015821483.1,XP_015676969.1
107292432,LOC107292432,uncharacterized LOC107292432,ncRNA,XR_001548997.1,
107292432,LOC107292432,uncharacterized LOC107292432,ncRNA,XR_001548998.1,
107292432,LOC107292432,uncharacterized LOC107292432,ncRNA,XR_001548996.1,
107292469,GRPEL2,"GrpE like 2, mitochondrial",PROTEIN_CODING,XM_015821558.1,XP_015677044.1
107292471,TECR,"trans-2,3-enoyl-CoA reductase",PROTEIN_CODING,XM_015821561.1,XP_015677047.1
107292471,TECR,"trans-2,3-enoyl-CoA reductase",PROTEIN_CODING,XM_015821560.1,XP_015677046.1
107292490,SLC6A6,solute carrier family 6 member 6,PROTEIN_CODING,XM_015821583.1,XP_015677069.1
107292490,SLC6A6,solute carrier family 6 member 6,PROTEIN_CODING,XM_015821586.1,XP_015677072.1
107292490,SLC6A6,solute carrier family 6 member 6,PROTEIN_CODING,XM_015821587.1,XP_015677073.1
107292490,SLC6A6,solute carrier family 6 member 6,PROTEIN_CODING,XM_015821585.2,XP_015677071.1
107292527,CUNH1orf87,chromosome unknown C1orf87 homolog,PROTEIN_CODING,XM_015821625.1,XP_015677111.1
107292538,DHRS7C,dehydrogenase/reductase 7C,PROTEIN_CODING,XM_015821637.1,XP_015677123.1
107292558,UHMK1,U2AF homology motif kinase 1,PROTEIN_CODING,XM_015821657.1,XP_015677143.1
107292563,MGST3,microsomal glutathione S-transferase 3,PROTEIN_CODING,XM_015821667.1,XP_015677153.1
107292563,MGST3,microsomal glutathione S-transferase 3,PROTEIN_CODING,XM_015821665.1,XP_015677151.1
107292563,MGST3,microsomal glutathione S-transferase 3,PROTEIN_CODING,XM_015821666.1,XP_015677152.1
107292582,TMEFF1,transmembrane protein with EGF like and two follistatin like domains 1,PROTEIN_CODING,XM_015821686.1,XP_015677172.1
107292590,NUDT12,nudix hydrolase 12,PROTEIN_CODING,XM_015821696.1,XP_015677182.1
107292590,NUDT12,nudix hydrolase 12,PROTEIN_CODING,XM_015821695.1,XP_015677181.1
107292591,MACIR,macrophage immunometabolism regulator,PROTEIN_CODING,XM_015821698.1,XP_015677184.1
107292591,MACIR,macrophage immunometabolism regulator,PROTEIN_CODING,XM_015821697.1,XP_015677183.1
107292594,NDEL1,nudE neurodevelopment protein 1 like 1,PROTEIN_CODING,XM_015821702.1,XP_015677188.1
107292594,NDEL1,nudE neurodevelopment protein 1 like 1,PROTEIN_CODING,XM_015821701.1,XP_015677187.1
107292594,NDEL1,nudE neurodevelopment protein 1 like 1,PROTEIN_CODING,XM_015821703.1,XP_015677189.1
107292595,LOC107292595,uncharacterized LOC107292595,ncRNA,XR_001549005.1,
107292595,LOC107292595,uncharacterized LOC107292595,ncRNA,XR_001549004.1,
107292596,TMEM147,transmembrane protein 147,PROTEIN_CODING,XM_015821707.1,XP_015677193.1
107292596,TMEM147,transmembrane protein 147,PROTEIN_CODING,XM_015821715.1,XP_015677201.1
107292620,LOC107292620,gamma-aminobutyric acid receptor-associated protein-like 1,PROTEIN_CODING,XM_015821730.1,XP_015677216.1
107292658,MTRF1L,mitochondrial translation release factor 1 like,PROTEIN_CODING,XM_015821772.1,XP_015677258.1
107292662,CCDC86,coiled-coil domain containing 86,PROTEIN_CODING,XM_015821773.2,XP_015677259.1
107292665,TMEM138,transmembrane protein 138,PROTEIN_CODING,XM_015821776.1,XP_015677262.1
107292667,VPS37C,VPS37C subunit of ESCRT-I,PROTEIN_CODING,XM_015821778.1,XP_015677264.1
107292667,VPS37C,VPS37C subunit of ESCRT-I,PROTEIN_CODING,XM_015821779.1,XP_015677265.1
107292670,TMEM109,transmembrane protein 109,PROTEIN_CODING,XM_015821781.1,XP_015677267.1
107292675,LOC107292675,membrane-spanning 4-domains subfamily A member 8,PROTEIN_CODING,XM_015821788.2,XP_015677274.1
107292677,LOC107292677,lipoxygenase homology domain-containing protein 1,PROTEIN_CODING,XM_029285202.1,XP_029141035.1
107292686,LOC107292686,transmembrane protein 68,PROTEIN_CODING,XM_015821798.1,XP_015677284.1
