gene,description,colors
107291323,pre-mRNA processing factor 40 homolog A,orange
107291324,formin like 2,black
107291325,coiled-coil domain-containing protein 85C-like,tan
107291326,lysine demethylase 7A,yellow
107291327,aldo-keto reductase family 1 member D1,tan
107291328,solute carrier family 37 member 3,turquoise
107291329,cystine/glutamate transporter-like,blue
107291330,cystine/glutamate transporter-like,midnightblue
107291331,tripartite motif containing 24,steelblue
107291332,SVOP-like,black
107291333,ATPase H+ transporting V0 subunit a4,turquoise
107291334,KIAA1549 ortholog,blue
107291335,poly(ADP-ribose) polymerase family member 12,black
107291336,HHIP like 1,orange
107291337,protocadherin-related 15,pink
107291338,exosome component 2,magenta
107291339,far upstream element (FUSE) binding protein 3,brown
107291341,nuclear pore complex protein Nup214-like,turquoise
107291342,laminin subunit gamma 3,green
107291343,fibrinogen C domain containing 1,greenyellow
107291344,ABL proto-oncogene 1 non-receptor tyrosine kinase,brown
107291347,cholesterol 24-hydroxylase,turquoise
107291348,neuronal calcium sensor 1,pink
107291349,G protein-coupled receptor 107,turquoise
107291350,formin binding protein 1,pink
107291351,allograft inflammatory factor 1-like,turquoise
107291352,basic phospholipase A2 homolog G6K49,turquoise
107291353,basic phospholipase A2 trimucrotoxin,turquoise
107291354,basic phospholipase A2 homolog G6K49-like,turquoise
107291355,acidic phospholipase A2 1,turquoise
107291356,acidic phospholipase A2 jerdoxin,turquoise
107291357,echinoderm microtubule associated protein like 1,magenta
107291358,DnaJ heat shock protein family (Hsp40) member C16,orange
107291359,agmatinase,red
107291360,chymotrypsin C,green
107291361,cytidine deaminase,blue
107291362,centrosomal protein 104kDa,green
107291363,leucine rich repeat containing 47,brown
107291364,polyhomeotic homolog 2,yellow
107291365,zinc finger MYND-type containing 12,green
107291366,phosphopantothenoylcysteine synthetase,brown
107291367,delta(4)-desaturase sphingolipid 2,brown
107291369,Y-box binding protein 1,skyblue
107291370,group IIE secretory phospholipase A2-like,turquoise
107291371,calcium/calmodulin-dependent protein kinase II inhibitor 1,purple
107291374,trypsin-3-like,green
107291375,PTEN induced putative kinase 1,red
107291376,caspase 9,turquoise
107291378,uncharacterized LOC107291378,turquoise
107291379,kazrin periplakin interacting protein,green
107291380,PR domain 2,brown
107291381,podoplanin,red
107291382,leucine rich repeat containing 38,blue
107291386,uncharacterized LOC107291386,turquoise
107291387,DNA fragmentation factor subunit beta,purple
107291388,zinc finger protein 362,yellow
107291389,solute carrier family 2 member 1,yellow
107291390,peptidylprolyl isomerase H,orange
107291391,OTU deubiquitinase 3,brown
107291392,mitochondrial E3 ubiquitin protein ligase 1,yellow
107291393,YY1 transcription factor,brown
107291394,ATP-dependent RNA helicase DDX19A,yellow
107291395,UBX domain protein 10,pink
107291397,family with sequence similarity 193 member B,black
107291398,docking protein 3,tan
107291399,proline rich 7 (synaptic),blue
107291400,tripartite motif-containing protein 54-like,red
107291401,drebrin 1,black
107291402,G protein-coupled receptor kinase 6,yellow
107291403,alpha-2C adrenergic receptor-like,turquoise
107291405,solute carrier family 25 member 29,turquoise
107291406,DEAD-box helicase 41,yellow
107291407,PDZ and LIM domain 7,red
107291408,P2Y purinoceptor 4-like,blue
107291410,cytochrome P450 2J2-like,turquoise
107291411,cytochrome P450 2J2-like,purple
107291412,adaptor related protein complex 2 mu 1 subunit,yellow
107291413,cytochrome P450 2J5-like,pink
107291415,cytochrome P450 2K1-like,blue
107291416,cytochrome P450 2J2-like,red
107291419,cytochrome P450 2J5-like,tan
107291420,cytochrome P450 2J5-like,midnightblue
107291421,microsomal glutathione S-transferase 1,turquoise
107291422,tryptophanyl-tRNA synthetase,turquoise
107291423,serine/threonine kinase receptor associated protein,brown
107291425,protein ZBED8-like,darkred
107291426,LIM domain only 3,midnightblue
107291427,deoxyribose-phosphate aldolase (putative),blue
107291428,nudix hydrolase 3,brown
107291429,ribosomal protein S10,lightgreen
107291430,uncharacterized protein C3orf18-like,black
107291431,high mobility group AT-hook 1,darkred
107291432,solute carrier family 44 member 1,blue
107291433,fibronectin type III and SPRY domain containing 1-like,red
107291434,T-cell acute lymphocytic leukemia 2,turquoise
107291435,transmembrane protein 38B,red
107291436,fukutin,turquoise
107291437,component of oligomeric golgi complex 3,brown
107291438,fibroblast growth factor receptor 3,blue
107291439,WD repeat domain 25,brown
107291440,Wolf-Hirschhorn syndrome candidate 1,blue
107291441,negative elongation factor complex member A,brown
107291442,chromosome unknown open reading frame human C4orf48,cyan
107291443,N-acetyltransferase 8 like,black
107291444,MAX dimerization protein 4,black
107291445,conserved helix-loop-helix ubiquitous kinase,yellow
107291446,mitochondrial ribosome-associated GTPase 1,turquoise
107291447,polyamine oxidase (exo-N4-amino),brown
107291448,leucine zipper and EF-hand containing transmembrane protein 1,brown
107291449,interferon alpha-inducible protein 27-like protein 2B,darkgreen
107291450,uncharacterized LOC107291450,turquoise
107291451,zinc finger MYM-type containing 4,brown
107291452,splicing factor proline/glutamine-rich,purple
107291453,gap junction protein alpha 4,blue
107291454,gap junction protein beta 3,blue
107291455,periplasmic beta-glucosidase-like,brown
107291458,MAP7 domain containing 1,pink
107291459,ZMYM6 neighbor,green
107291461,small integral membrane protein 12,turquoise
107291462,leucine-rich repeats and immunoglobulin-like domains 2,turquoise
107291463,solute carrier family 16 (monocarboxylate transporter) member 1,turquoise
107291465,actin related protein 2/3 complex subunit 2,blue
107291466,keratin type II cytoskeletal 8-like,green
107291467,CTD small phosphatase 2,yellow
107291468,angio associated migratory cell protein,darkgrey
107291469,protein lifeguard 3-like,darkturquoise
107291470,protein lifeguard 3-like,purple
107291471,solute carrier family 11 member 1,blue
107291472,uncharacterized LOC107291472,blue
107291473,CTD small phosphatase 1,pink
107291474,ubiquitin specific peptidase 37,yellow
107291475,RCD1 required for cell differentiation1 homolog (S. pombe),yellow
107291476,zinc finger protein 142,yellow
107291477,Ts translation elongation factor mitochondrial,brown
107291478,ring finger protein 25,purple
107291479,mitochondrial chaperone BCS1,cyan
107291480,cyclin Pas1/PHO80 domain containing 1,brown
107291481,non-homologous end joining factor 1,pink
107291482,cilia and flagella associated protein 65,green
107291483,C-X-C chemokine receptor type 1-like,darkred
107291485,keratin type I cytoskeletal 18-like,pink
107291486,paroxysmal nonkinesigenic dyskinesia,blue
107291488,ciliogenesis associated TTC17 interacting protein,pink
107291489,phospholipase C delta 4,red
107291490,serine/threonine kinase 36,green
107291491,family with sequence similarity 134 member A,tan
107291492,G protein-coupled bile acid receptor 1,darkturquoise
107291493,uncharacterized LOC107291493,orange
107291494,CD59B glycoprotein-like,blue
107291495,uncharacterized LOC107291495,pink
107291496,villin 1,red
107291497,solute carrier family 23 member 3,red
107291498,ArfGAP with GTPase domain ankyrin repeat and PH domain 2,royalblue
107291500,crystallin beta A2,turquoise
107291501,FEV ETS transcription factor,green
107291502,glycerol-3-phosphate dehydrogenase mitochondrial-like,red
107291503,uncharacterized LOC107291503,turquoise
107291504,nuclear receptor subfamily 4 group A member 2,brown
107291506,growth regulation by estrogen in breast cancer-like,turquoise
107291507,G protein-activated inward rectifier potassium channel 1,green
107291508,TBC1 domain family member 7,turquoise
107291509,chromosome unknown open reading frame human C12orf10,turquoise
107291510,glucose-fructose oxidoreductase domain containing 1,blue
107291511,transmembrane protein 14C-like,black
107291512,PAK1 interacting protein 1,grey60
107291513,tRNA selenocysteine 1-associated protein 1-like,salmon
107291514,CAP adenylate cyclase-associated protein 2 (yeast),red
107291515,RNA binding motif protein 24,red
107291516,stathmin domain containing 1,pink
107291517,solute carrier family 11 member 2,turquoise
107291518,phosphatase and actin regulator 1-like,blue
107291519,nucleoporin 153kDa,salmon
107291520,family with sequence similarity 8 member A1,brown
107291521,runt-related transcription factor 1,darkturquoise
107291522,runt-related transcription factor 1-like,pink
107291523,chloride intracellular channel protein 6-like,darkred
107291524,integrin subunit alpha 6,yellow
107291525,neurabin-1-like,blue
107291526,pyruvate dehydrogenase kinase 1,turquoise
107291527,coiled-coil domain containing 148,green
107291528,uridine phosphorylase 2,tan
107291529,unc-5 netrin receptor A,green
107291530,BRCA1-A complex subunit RAP80-like,black
107291531,methyltransferase like 21B,turquoise
107291533,solute carrier family 43 member 1,turquoise
107291534,smoothelin-like protein 1,red
107291535,smoothelin-like 1,red
107291536,ubiquitin-conjugating enzyme E2 L3-like,darkgreen
107291537,serpin peptidase inhibitor clade G (C1 inhibitor) member 1,green
107291538,yippee like 4,black
107291539,cleavage and polyadenylation factor I subunit 1,yellow
107291540,cyclin-dependent kinase 4,black
107291541,zinc finger DHHC-type containing 5,yellow
107291543,uncharacterized LOC107291543,royalblue
107291544,translocase of inner mitochondrial membrane 10 homolog (yeast),grey60
107291545,MyoD family inhibitor,black
107291546,forkhead box P4,turquoise
107291547,transcription factor EB,yellow
107291548,gastricsin-like,darkred
107291549,nebulin related anchoring protein,red
107291550,caspase-7-like,royalblue
107291551,tetraspanin 31,turquoise
107291552,pleckstrin homology domain containing S1,blue
107291553,hyaluronan binding protein 2,magenta
107291554,DNA cross-link repair 1A,blue
107291555,NHL repeat-containing protein 2-like,blue
107291556,XK related X-linked,turquoise
107291557,magnesium transporter NIPA2-like,pink
107291558,ecto-NOX disulfide-thiol exchanger 2,red
107291559,UTP14A small subunit processome component,darkgrey
107291560,X-prolyl aminopeptidase (aminopeptidase P) 2 membrane-bound,cyan
107291561,tenomodulin,brown
107291562,synaptotagmin like 4,blue
107291563,dystrophin related protein 2,turquoise
107291564,aryl-hydrocarbon-interacting protein-like 1,cyan
107291565,transmembrane protein 106C,turquoise
107291567,RAB33A member RAS oncogene family,pink
107291568,methionyl-tRNA synthetase 2 mitochondrial,magenta
107291569,apoptosis inducing factor mitochondria associated 1,brown
107291570,zinc finger DHHC-type containing 9,brown
107291571,oculocerebrorenal syndrome of Lowe,brown
107291572,protocadherin 19,pink
107291573,tetraspanin 6,brown
107291574,sushi-repeat containing protein X-linked 2,yellow
107291575,tRNA methyltransferase 12 homolog (S. cerevisiae),yellow
107291576,cleavage stimulation factor 3' pre-RNA subunit 2,tan
107291577,NADPH oxidase 1,red
107291578,transmembrane protein 35,black
107291579,centromere protein I,cyan
107291580,TATA-box binding protein associated factor 7 like,yellow
107291581,translocase of inner mitochondrial membrane 8 homolog A (yeast),turquoise
107291582,Bruton tyrosine kinase,darkturquoise
107291583,60S ribosomal protein L36a-like,lightgreen
107291584,galactosidase alpha,purple
107291585,peptidylprolyl cis/trans isomerase NIMA-interacting 4,lightgreen
107291586,solute carrier family 25 (mitochondrial carrier brain) member 14,blue
107291587,RNA binding motif protein X-linked 2,grey60
107291588,uncharacterized LOC107291588,green
107291589,vitamin D (125- dihydroxyvitamin D3) receptor,turquoise
107291590,BCL6 corepressor-like 1,brown
107291591,SAM and SH3 domain containing 3,white
107291592,neural cell adhesion molecule 1-like,midnightblue
107291593,mitogen-activated protein kinase kinase kinase MLK4,tan
107291594,potassium two pore domain channel subfamily K member 1,salmon
107291595,pecanex-like protein 2,greenyellow
107291596,vomeronasal type-2 receptor 26-like,tan
107291597,vomeronasal type-2 receptor 26-like,greenyellow
107291598,ceramide synthase 4-like,royalblue
107291599,vomeronasal type-2 receptor 26-like,magenta
107291600,establishment of sister chromatid cohesion N-acetyltransferase 1,turquoise
107291601,cysteine-serine-rich nuclear protein 2,blue
107291602,RIC1 homolog RAB6A GEF complex partner 1,turquoise
107291603,Janus kinase 2,darkred
107291604,cell division cycle 37-like 1,darkred
107291605,spermatogenesis associated 6 like,green
107291606,solute carrier family 1 member 1,turquoise
107291607,KIAA2026 ortholog,brown
107291608,endoplasmic reticulum metallopeptidase 1,turquoise
107291609,programmed cell death 1 ligand 1-like,turquoise
107291610,GLIS family zinc finger 3,blue
107291611,plasminogen receptor C-terminal lysine transmembrane protein,turquoise
107291612,LETM1 domain containing 1,tan
107291613,RNA terminal phosphate cyclase-like 1,turquoise
107291614,adenylate kinase 3,purple
107291615,plexin A1,blue
107291616,kelch like family member 2,turquoise
107291617,transmembrane protein 192,turquoise
107291618,autophagy related 4D cysteine peptidase,turquoise
107291619,KRI1 homolog,turquoise
107291620,cyclin-dependent kinase inhibitor 2D,blue
107291621,adaptor related protein complex 1 mu 2 subunit,green
107291622,advillin,tan
107291623,fatty acid desaturase 1-like,midnightblue
107291624,uncharacterized LOC107291624,turquoise
107291625,fatty acid desaturase 1-like,brown
107291626,fatty acid desaturase 1-like,turquoise
107291627,fatty acid desaturase 1-like,brown
107291628,fatty acid desaturase 1-like,brown
107291629,fatty acid desaturase 1-like,brown
107291630,fatty acid desaturase 1-like,tan
107291631,snake venom vascular endothelial growth factor toxin,turquoise
107291633,methyltransferase like 1,salmon
107291634,creatine kinase M-type,red
107291635,kinesin light chain 3,turquoise
107291636,protein phosphatase 1 regulatory subunit 13 like,turquoise
107291638,vasodilator-stimulated phosphoprotein,turquoise
107291639,G protein-coupled receptor 4,midnightblue
107291641,F-box only protein 27-like,grey60
107291642,acid phosphatase 7 tartrate resistant (putative),tan
107291644,25-hydroxyvitamin D-1 alpha hydroxylase mitochondrial,blue
107291645,leucine-rich repeat and fibronectin type III domain-containing protein 1-like protein,pink
107291646,suppressor of cytokine signaling 5-like,turquoise
107291647,mediator complex subunit 29,orange
107291648,ZFP36 ring finger protein,blue
107291651,excision repair cross-complementation group 2,turquoise
107291653,reticulon 2,red
107291655,optic atrophy 3 (autosomal recessive with chorea and spastic paraplegia),turquoise
107291656,echinoderm microtubule associated protein like 2,brown
107291657,p21 protein (Cdc42/Rac)-activated kinase 4,turquoise
107291658,syncollin,pink
107291660,glia maturation factor gamma,darkturquoise
107291661,sterile alpha motif domain containing 4B,turquoise
107291662,PAF1 homolog Paf1/RNA polymerase II complex component,turquoise
107291664,fragile X mental retardation 1,grey60
107291665,aladin WD repeat nucleoporin,yellow
107291666,iduronate 2-sulfatase,blue
107291667,AF4/FMR2 family member 2,green
107291668,SLIT and NTRK like family member 4,midnightblue
107291670,monocarboxylate transporter 2-like,turquoise
107291671,succinyl-CoA ligase [GDP-forming] subunit beta mitochondrial,blue
107291672,Sec61 translocon beta subunit,turquoise
107291673,ALG2 alpha-13/16-mannosyltransferase,turquoise
107291674,GLI pathogenesis-related 2,pink
107291676,uncharacterized protein K02A2.6-like,magenta
107291678,FERM domain containing 6,blue
107291679,cell division cycle 5 like,salmon
107291680,methylmalonyl-CoA mutase,turquoise
107291681,cytochrome P450 2K1-like,black
107291682,glycine-N-acyltransferase like 3,blue
107291683,cytochrome P450 2K4-like,blue
107291684,cytochrome P450 2K1-like,turquoise
107291685,WNT inhibitory factor 1,turquoise
107291686,cytochrome P450 2K1-like,pink
107291687,cytochrome P450 2C15-like,magenta
107291688,cytochrome P450 2C5-like,blue
107291689,CNDP dipeptidase 2 (metallopeptidase M20 family),brown
107291690,zinc finger protein 407,turquoise
107291691,family with sequence similarity 69 member C,blue
107291692,chromosome unknown open reading frame human C18orf63,greenyellow
107291693,carnosine dipeptidase 1 (metallopeptidase M20 family),turquoise
107291694,discs large homolog 1 scribble cell polarity complex component,brown
107291695,OPA1 mitochondrial dynamin like GTPase,brown
107291698,xyloside xylosyltransferase 1,pink
107291699,protein phosphatase 1 regulatory inhibitor subunit 2,orange
107291700,D-beta-hydroxybutyrate dehydrogenase mitochondrial-like,turquoise
107291701,hes family bHLH transcription factor 1,turquoise
107291702,mindbomb E3 ubiquitin protein ligase 1,orange
107291703,methionine sulfoxide reductase B3,red
107291704,ATPase 13A3,turquoise
107291706,ArfGAP with coiled-coil ankyrin repeat and PH domains 2,brown
107291707,very long-chain specific acyl-CoA dehydrogenase mitochondrial-like,brown
107291708,3-hydroxybutyrate dehydrogenase type 1,salmon
107291709,melanotransferrin,brown
107291710,melanophilin,darkturquoise
107291711,collagen alpha-3(VI) chain-like,tan
107291712,sperm tail PG-rich repeat containing 2,green
107291713,caspase-1-like,green
107291714,SLIT-ROBO Rho GTPase activating protein 1,cyan
107291715,homeobox protein BarH-like 2,yellow
107291716,amyloid beta precursor like protein 2,black
107291717,nuclear factor related to kappa-B-binding protein-like,turquoise
107291718,PR domain 10,turquoise
107291719,transmembrane protein 45B,darkred
107291720,lipin 1,brown
107291721,protein GREB1-like,blue
107291722,fructose-bisphosphatase 1,brown
107291723,ribosomal protein L18a,lightgreen
107291724,chromosome unknown open reading frame human C9orf3,skyblue
107291725,Fanconi anemia complementation group C,green
107291726,SH3-domain GRB2-like 2,pink
107291727,chondroitin sulfate proteoglycan 4,magenta
107291728,snurportin 1,yellow
107291729,sorting nexin 33,magenta
107291730,BAI1 associated protein 2 like 1,pink
107291731,parvalbumin beta,red
107291732,CCZ1 homolog vacuolar protein trafficking and biogenesis associated,lightgreen
107291733,cytohesin 3,tan
107291734,brain protein I3,purple
107291735,lemur tyrosine kinase 2,turquoise
107291736,radial spoke head 10 homolog B (Chlamydomonas),cyan
107291737,PMS1 homolog 2 mismatch repair system component,yellow
107291738,eukaryotic translation initiation factor 2 alpha kinase 1,brown
107291739,ubiquitin specific peptidase 42,blue
107291740,exportin tRNA,turquoise
107291741,tectonin beta-propeller repeat containing 1,turquoise
107291742,basic helix-loop-helix family member a15,turquoise
107291743,parvalbumin thymic CPV3-like,darkred
107291744,aminoacyl tRNA synthetase complex-interacting multifunctional protein 2,turquoise
107291745,transmembrane and tetratricopeptide repeat containing 2,midnightblue
107291747,ceroid-lipofuscinosis neuronal 8,blue
107291748,glutamate rich 1,orange
107291749,Rho guanine nucleotide exchange factor 10,blue
107291750,discs large homolog associated protein 2,turquoise
107291752,trinucleotide repeat containing 6C,red
107291753,SEC14 like lipid binding 1,turquoise
107291754,septin 9,turquoise
107291756,CASP8 and FADD like apoptosis regulator,blue
107291757,NADH:ubiquinone oxidoreductase subunit B3,orange
107291758,family with sequence similarity 126 member B,turquoise
107291759,NGG1 interacting factor 3 like 1,brown
107291760,origin recognition complex subunit 2,salmon
107291761,CDC like kinase 1,skyblue
107291762,peptidylprolyl isomerase like 3,turquoise
107291763,basic leucine zipper and W2 domains 1,brown
107291764,potassium channel tetramerization domain containing 18,green
107291765,spermatogenesis associated serine rich 2 like,pink
107291766,aldehyde oxidase 1,pink
107291767,TANK-binding kinase 1,green
107291768,nitrilase family member 2,purple
107291769,TBC1 domain family member 23,turquoise
107291770,cms1 ribosomal small subunit homolog (yeast),salmon
107291771,discoidin CUB and LCCL domain containing 2,blue
107291772,collagen type VIII alpha 1,turquoise
107291773,ST3 beta-galactoside alpha-23-sialyltransferase 6,turquoise
107291774,coproporphyrinogen oxidase,black
107291775,filamin A interacting protein 1-like,blue
107291776,Ras association domain family member 3,turquoise
107291777,translocase of outer mitochondrial membrane 70,brown
107291778,transcription termination factor 2-like,cyan
107291784,TBC1 domain family member 30,yellow
107291788,olfactory receptor 6X1-like,magenta
107291789,olfactory receptor 6X1-like,greenyellow
107291791,olfactory receptor 6M1-like,greenyellow
107291795,glucosamine (N-acetyl)-6-sulfatase,turquoise
107291796,olfactory receptor 6X1-like,greenyellow
107291797,olfactory receptor 6X1-like,greenyellow
107291800,uncharacterized LOC107291800,red
107291803,vomeronasal type-2 receptor 26-like,greenyellow
107291804,vomeronasal type-2 receptor 26-like,greenyellow
107291805,vomeronasal type-2 receptor 116-like,greenyellow
107291806,vomeronasal type-2 receptor 26-like,greenyellow
107291807,olfactory receptor 6X1-like,greenyellow
107291810,olfactory receptor 6X1-like,green
107291811,olfactory receptor 6X1-like,orange
107291812,olfactory receptor 49-like,greenyellow
107291816,olfactory receptor 49-like,greenyellow
107291820,olfactory receptor 49-like,red
107291821,eukaryotic elongation factor selenocysteine-tRNA-specific,turquoise
107291822,neuromedin B receptor,greenyellow
107291823,ADAM metallopeptidase with thrombospondin type 1 motif 3,blue
107291824,succinyl-CoA ligase [ADP/GDP-forming] subunit alpha mitochondrial-like,turquoise
107291825,FGGY carbohydrate kinase domain-containing protein-like,turquoise
107291826,semaphorin 3B,blue
107291827,polypeptide N-acetylgalactosaminyltransferase 12,tan
107291828,ankyrin repeat and sterile alpha motif domain containing 6,darkred
107291829,gamma-aminobutyric acid type B receptor subunit 2,cyan
107291830,transcriptional repressor NF-X1-like,royalblue
107291831,LEM domain containing 3,tan
107291832,glutathione S-transferase theta-1-like,turquoise
107291834,DEAD-box helicase 51,brown
107291835,solute carrier family 2 facilitated glucose transporter member 11-like,turquoise
107291836,calcineurin binding protein 1,brown
107291839,solute carrier family 2 facilitated glucose transporter member 11-like,green
107291840,uncharacterized protein K02A2.6-like,red
107291841,chromosome unknown open reading frame human C12orf66,green
107291843,D-dopachrome tautomerase,brown
107291844,macrophage migration inhibitory factor (glycosylation-inhibiting factor),brown
107291845,iduronidase alpha-L-,pink
107291846,solute carrier family 26 (anion exchanger) member 1,midnightblue
107291847,major facilitator superfamily domain containing 7,turquoise
107291848,polycomb group ring finger 3,black
107291849,protein regulator of cytokinesis 1-like,cyan
107291850,diacylglycerol kinase theta,blue
107291851,sarcoplasmic/endoplasmic reticulum calcium ATPase 3,turquoise
107291852,protein NDRG1-like,black
107291853,calcium/calmodulin-dependent protein kinase kinase 1-like,darkturquoise
107291854,purinergic receptor P2X 1,blue
107291855,pulmonary surfactant-associated protein D-like,pink
107291856,pulmonary surfactant-associated protein D-like,darkred
107291857,phospholipase A2 inhibitor subunit B,black
107291858,phospholipase A2 inhibitor subunit A,purple
107291859,2-phosphoxylose phosphatase 1,salmon
107291860,solute carrier family 25 member 36,brown
107291861,G protein-coupled receptor 183,darkturquoise
107291862,WNT1 inducible signaling pathway protein 1,black
107291863,G protein-coupled receptor 18,brown
107291864,ubiquitin-associated domain-containing protein 2-like,turquoise
107291865,ubiquitin-associated domain-containing protein 2-like,turquoise
107291866,transmembrane 9 superfamily member 2-like,turquoise
107291867,protein CEPU-1-like,black
107291868,opioid-binding protein/cell adhesion molecule-like,blue
107291869,CXXC finger protein 5,red
107291870,leucine rich repeat neuronal 1,turquoise
107291871,protein NDRG1-like,blue
107291872,polymerase (RNA) III subunit H,brown
107291873,ADP ribosylation factor like GTPase 1,salmon
107291874,UTP20 small subunit processome component,turquoise
107291875,nucleoporin 205kDa,yellow
107291876,CCR4-NOT transcription complex subunit 4-like,yellow
107291877,protein phosphatase 1 regulatory subunit 3A,red
107291878,pre-B-cell leukemia homeobox 3,turquoise
107291879,multivesicular body subunit 12B-like,blue
107291880,BCL2 like 11,blue
107291881,target of rapamycin complex 2 subunit MAPKAP1-like,brown
107291882,protein kinase cAMP-dependent type I regulatory subunit beta,midnightblue
107291883,Sad1 and UNC84 domain containing 1,blue
107291884,golgi to ER traffic protein 4,grey60
107291885,family with sequence similarity 20 member C,black
107291886,forkhead box protein D3,midnightblue
107291887,dynein (axonemal) assembly factor 5,green
107291888,cytochrome P450 2W1-like,darkred
107291889,tumor necrosis factor receptor superfamily member 13B,green
107291890,ubiquitin carboxyl-terminal hydrolase 22,brown
107291891,platelet derived growth factor subunit A,tan
107291892,ArfGAP with dual PH domains 1,turquoise
107291893,cytochrome c oxidase assembly protein COX19-like,lightgreen
107291894,cytochrome c oxidase assembly protein COX19-like,turquoise
107291895,sodium voltage-gated channel alpha subunit 8,red
107291896,anaphase promoting complex subunit 1,turquoise
107291897,methyltransferase-like protein 7A,pink
107291899,lysocardiolipin acyltransferase 1,yellow
107291900,yippee like 5,darkred
107291901,calpain-13-like,red
107291902,limb bud and heart development,blue
107291903,ankyrin repeat domain-containing protein 9-like,green
107291905,galactose mutarotase (aldose 1-epimerase),turquoise
107291906,serine/arginine-rich splicing factor 7,blue
107291907,gem nuclear organelle associated protein 6,grey60
107291908,DEAH-box helicase 57,yellow
107291909,SOS Ras/Rac guanine nucleotide exchange factor 1,turquoise
107291910,Rho guanine nucleotide exchange factor 33,pink
107291911,MORN repeat containing 2,green
107291912,actin clone 302-like,purple
107291914,CDC like kinase 3,turquoise
107291915,cytochrome P450 1A5,midnightblue
107291916,enhancer of mRNA decapping 3,yellow
107291917,cholesterol side-chain cleavage enzyme mitochondrial,pink
107291918,semaphorin 7A (John Milton Hagen blood group),blue
107291919,uncharacterized LOC107291919,green
107291920,uncharacterized LOC107291920,green
107291921,coiled-coil domain containing 33,green
107291922,ubiquitin like 7,blue
107291923,AT-rich interaction domain 3B,green
107291924,porcupine homolog (Drosophila),black
107291925,cytochrome P450 1A5-like,pink
107291926,solute carrier family 39 member 10,turquoise
107291927,dynein heavy chain 7 axonemal-like,turquoise
107291928,baculoviral IAP repeat-containing protein 5.1-like,turquoise
107291929,retinoblastoma binding protein 8,purple
107291931,HCLS1 binding protein 3,salmon
107291933,3-beta-hydroxysteroid-Delta(8)Delta(7)-isomerase-like,orange
107291934,lipid droplet associated hydrolase,black
107291936,Rho GTPase activating protein 35,brown
107291937,protein kinase D2,brown
107291938,fukutin related protein,black
107291939,striatin 4,turquoise
107291941,neutral amino acid transporter B(0)-like,turquoise
107291942,calmodulin 3 (phosphorylase kinase delta),grey60
107291943,potassium voltage-gated channel subfamily D member 1-like,greenyellow
107291944,adaptor related protein complex 2 sigma 1 subunit,turquoise
107291945,guanine nucleotide binding protein (G protein) gamma 8,turquoise
107291946,interferon regulatory factor 2 binding protein 1,black
107291948,dystrophia myotonica protein kinase,red
107291949,SIX homeobox 5,magenta
107291950,homeobox protein six1b-like,blue
107291952,hypoxia inducible factor 3 alpha subunit,brown
107291953,serine/threonine-protein phosphatase 5,turquoise
107291954,leucyl-tRNA synthetase,turquoise
107291956,neutral amino acid transporter B(0)-like,brown
107291958,transmembrane protein 160,grey60
107291960,WD repeat domain 62,blue
107291961,transmembrane protein 87A-like,yellow
107291964,delta-like protein B,red
107291965,RNA binding motif protein 27,brown
107291966,translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae),brown
107291967,transcription elongation factor SPT5-like,brown
107291968,Myb-related transcription factor partner of profilin,darkred
107291969,forkhead box A3,pink
107291970,symplekin,turquoise
107291971,small nuclear ribonucleoprotein D2 polypeptide,grey60
107291973,tubulin folding cofactor B,purple
107291974,transcription elongation regulator 1,brown
107291975,polymerase (RNA) II subunit I,grey60
107291976,THAP domain containing 8,tan
107291978,alkB homolog 6,turquoise
107291979,calpain small subunit 1,blue
107291980,cytochrome c oxidase subunit 7A2 mitochondrial,red
107291982,calcineurin like EF-hand protein 2,blue
107291983,SPT5 homolog DSIF elongation factor subunit,salmon
107291984,spleen tyrosine kinase,blue
107291985,protein phosphatase 2 regulatory subunit B beta,red
107291986,DIRAS family GTP binding RAS like 2,blue
107291988,sarcoplasmic/endoplasmic reticulum calcium ATPase 1-like,tan
107291989,protein spinster homolog 1-like,tan
107291991,linker for activation of T-cells family member 1-like,tan
107291992,ring finger protein 122,darkred
107291993,TELO2 interacting protein 2,salmon
107291994,MAK16 homolog,grey60
107291995,dihydropyrimidinase like 3,black
107291996,dual specificity phosphatase 26 (putative),red
107291997,DNA-binding protein SMUBP-2-like,turquoise
107291998,phosphatidylserine synthase 2-like,turquoise
107291999,synaptotagmin 12,blue
107292000,glyoxalase I,grey60
107292001,BTB domain containing 9,darkgreen
107292002,dynein axonemal heavy chain 8,greenyellow
107292003,cadherin-4,midnightblue
107292004,ubiquitin conjugating enzyme E2G 1,red
107292005,3-beta-hydroxysteroid-Delta(8)Delta(7)-isomerase-like,brown
107292006,ankyrin repeat and FYVE domain containing 1,yellow
107292007,protein spinster homolog 3-like,blue
107292008,neuferricin,blue
107292009,putative methyltransferase DDB_G0268948,pink
107292010,SUMO1/sentrin specific peptidase 6,turquoise
107292011,myosin VI,turquoise
107292012,zinc finger protein OZF-like,yellow
107292013,G-patch domain and KOW motifs,darkgrey
107292014,zinc finger protein 2 homolog,blue
107292015,uncharacterized LOC107292015,black
107292016,alpha-2-macroglobulin-like,blue
107292017,docking protein 5,red
107292018,caldesmon 1,blue
107292020,perilipin-3-like,greenyellow
107292021,ras-related and estrogen-regulated growth inhibitor-like,blue
